,part_no,description_mar,on_hand_mar,total_cost_mar,excess_mar,excess_cost_mar,description_jun,on_hand_jun,total_cost_jun,excess_jun,excess_cost_jun,on_hand_change,total_cost_change,excess_change,excess_cost_change
2931,RM13096/1,"Shim,Stage 10 Stator & EGV",556.0,,123.0,694.144719,"Shim,Stage 10 Stator & EGV",512.0,,35.0,169.498455,-44.0,0.0,-88.0,-524.646264
2938,RM34047/2,Cap Screw,59.0,,20.0,334.5017,Cap Screw,51.0,,12.0,203.157648,-8.0,0.0,-8.0,-131.34405200000003
2940,RM31082A/2,Sealing Strip,675.0,,200.0,1460.0,Sealing Strip,620.0,,29.0,211.7,-55.0,0.0,-171.0,-1248.3
2944,252408080,Thread Insert - M8 x 8mm,435.0,,100.0,174.0,,,,,,-435.0,0.0,-100.0,-174.0
2954,RM11281,Stage 1 Compressor Rotor Blade,31.0,,14.0,3161.36709,Stage 1 Compressor Rotor Blade,31.0,,0.0,0.0,0.0,0.0,-14.0,-3161.36709
2966,RM33313Z/01,BORESCOPE PLUG LP (DOWNSTREAM),20.0,,10.0,6205.0,BORESCOPE PLUG LP (DOWNSTREAM),16.0,,2.0,1241.0,-4.0,0.0,-8.0,-4964.0
2967,RM33315A/01,BORESCOPE PLUG LP (DOWNSTREAM),25.0,,10.0,3121.04,BORESCOPE PLUG LP (DOWNSTREAM),21.0,,2.0,582.195238,-4.0,0.0,-8.0,-2538.8447619999997
2972,RM33312B/01,BORESCOPE PLUG HP,22.0,,10.0,4372.81818,BORESCOPE PLUG HP,18.0,,2.0,883.3,-4.0,0.0,-8.0,-3489.51818
2973,RM33313B/01,BORESCOPE PLUG LP (UPSTREAM),23.0,,8.0,2963.714784,,,,,,-23.0,0.0,-8.0,-2963.714784
2976,RM11086A/1,,,,,,STG 6 COMP ROTOR BLADE,6.0,,0.0,0.0,6.0,0.0,0.0,0.0
2977,RM11084A/1,STG 4 COMP ROTOR BLADE,18.0,,0.0,0.0,,,,,,-18.0,0.0,0.0,0.0
3163,RM11088A/1,STG 8 COMP ROTOR BLADE,8.0,,0.0,0.0,STG 8 COMP ROTOR BLADE,7.0,,0.0,0.0,-1.0,0.0,0.0,0.0
3205,RT33639A,RADIAL PIN,19.0,,17.0,1066.58,,,,,,-19.0,0.0,-17.0,-1066.58
3209,64/04001041/8,HIGH PRESSURE FILTER,2.0,,2.0,1043.42,,,,,,-2.0,0.0,-2.0,-1043.42
3222,346321050,,,,,,GASKET - 2 IN NPS CL150,20.0,,2.0,8.32,20.0,0.0,2.0,8.32
3232,5199560,FIRE PUMP KIT,1.0,,1.0,208.33,,,,,,-1.0,0.0,-1.0,-208.33
3236,RM21034F,FLAME TUBE WITH IGNITOR PORT,2.0,,0.0,0.0,,,,,,-2.0,0.0,0.0,0.0
3255,RT54000A/02,BLOW OFF VALVE ASSEMBLY,7.0,,0.0,0.0,BLOW OFF VALVE ASSEMBLY,5.0,,0.0,0.0,-2.0,0.0,0.0,0.0
3270,RM22304/01,RM DLE DUAL MAIN FUEL BURNER,16.0,,16.0,38892.2696,RM DLE DUAL MAIN FUEL BURNER,8.0,,8.0,0.08,-8.0,0.0,-8.0,-38892.1896
3271,RM22326C/01,SGT-100 DLE PILOT BURNER,8.0,,8.0,22400.08,,,,,,-8.0,0.0,-8.0,-22400.08
3291,500706,SETSCREW 1/4 IN UNF X 7/8 IN,422.0,,261.0,83.52,SETSCREW 1/4 IN UNF X 7/8 IN,352.0,,121.0,38.72,-70.0,0.0,-140.0,-44.8
3300,RM21023P,FLAME TUBE ASSEMBLY - DLE,26.0,,0.0,0.0,FLAME TUBE ASSEMBLY - DLE,20.0,,0.0,0.0,-6.0,0.0,0.0,0.0
3304,RT04521,GAS FUEL PIPE UPPER,7.0,,5.0,125.0,GAS FUEL PIPE UPPER,7.0,,4.0,100.0,0.0,0.0,-1.0,-25.0
3360,TB14076C,JOINT,28.0,,1.0,36.572857,,,,,,-28.0,0.0,-1.0,-36.572857
3361,H245305A,TB5 END SEAL STRIP,92.0,,84.0,993.026076,TB5 END SEAL STRIP,91.0,,82.0,957.057178,-1.0,0.0,-2.0,-35.96889799999997
3389,H245257A,Sealing Strip,20.0,,20.0,199.4,,,,,,-20.0,0.0,-20.0,-199.4
3396,E1B101185219,Sqaure Joint 2 IN ID,54.0,,11.0,191.4,Sqaure Joint 2 IN ID,52.0,,1.0,17.4,-2.0,0.0,-10.0,-174.0
3405,F245338A,"STUD, 1/4 INS X 1.3/8 INS",155.0,,114.0,216.6,"STUD, 1/4 INS X 1.3/8 INS",153.0,,110.0,209.0,-2.0,0.0,-4.0,-7.599999999999994
3416,F245640A-1,TB Burner Copper Washer 0.100 Thick,79.0,,55.0,133.1,TB Burner Copper Washer 0.100 Thick,77.0,,51.0,123.42,-2.0,0.0,-4.0,-9.679999999999993
